"id_hogar";"año";"mes";"consumo_kwh";"tipo_vivienda";"tipo_energia";"factura_mensual";"provincia";"comunidad_autonoma";"tamaño_vivienda_m2";"num_habitantes";"aislamiento_vivienda";"uso_energia_renovable";"precio_energia_eur_kwh";"tipo_equipos_electronicos";"estacion";"modo_facturacion";"consumo_promedio_historico";"vivienda_alquiler_propiedad";"años_vivienda_ocupada";"temperatura_media_mensual";"id_provincia";"id_comunidad";"id_tipo_vivienda";"id_tipo_energia"
"Hogar_15";2022;"Noviembre";176.0;"Casa";"Gas";139.0;"Sevilla";"Andalucía";139;5;"Bueno";"Sí";0.197;"Aire acondicionado";"Primavera";"Tarifa variable";342.0;"Alquiler";13;23.0;2;2;1;2
"Hogar_16";2021;"Noviembre";333.0;"Apartamento";"Gas";186.0;"Zaragoza";"Aragón";143;5;"Bueno";"No";0.122;"Calefacción eléctrica";"Otoño";"Tarifa variable";226.0;"Propiedad";7;24.0;9;8;2;2
"Hogar_17";2022;"Mayo";418.0;"Apartamento";"Eléctrica";187.0;"Valencia";"Comunidad Valenciana";63;1;"Deficiente";"No";0.118;"Electrodomésticos";"Invierno";"Tarifa fija";395.0;"Propiedad";5;13.0;4;4;2;1
"Hogar_18";2021;"Septiembre";418.0;"Apartamento";"Gas";71.0;"Valencia";"Comunidad Valenciana";42;5;"Bueno";"Sí";0.124;"Calefacción eléctrica";"Verano";"Tarifa variable";391.0;"Alquiler";18;11.0;4;4;2;2
"Hogar_19";2022;"Noviembre";312.0;"Casa";"Eléctrica";54.0;"Madrid";"Comunidad de Madrid";61;1;"Bueno";"Sí";0.164;"Aire acondicionado";"Primavera";"Tarifa variable";357.0;"Alquiler";8;14.0;8;7;1;1
"Hogar_20";2021;"Noviembre";339.0;"Casa";"Gas";170.0;"Murcia";"Región de Murcia";92;4;"Regular";"No";0.15;"Calefacción eléctrica";"Verano";"Tarifa variable";363.0;"Propiedad";17;23.0;5;5;1;2
"Hogar_21";2021;"Abril";339.0;"Casa";"Gas";-1.0;"Palma";"Islas Baleares";41;2;"Bueno";"No";0.157;"Calefacción eléctrica";"Primavera";"Tarifa variable";394.0;"Propiedad";1;24.0;3;3;1;2
"Hogar_22";2022;"Mayo";258.0;"Apartamento";"Eléctrica";-1.0;"Bilbao";"País Vasco";127;2;"Deficiente";"Sí";0.234;"Calefacción eléctrica";"Invierno";"Tarifa fija";312.0;"Alquiler";14;22.0;1;1;2;1
"Hogar_23";2022;"Noviembre";125.0;"Casa";"Gas";-1.0;"Murcia";"Región de Murcia";147;1;"Bueno";"No";0.202;"Calefacción eléctrica";"Otoño";"Tarifa fija";285.0;"Propiedad";17;11.0;5;5;1;2
"Hogar_24";2022;"Enero";218.0;"Casa";"Gas";-1.0;"Madrid";"Comunidad de Madrid";69;2;"Deficiente";"No";0.207;"Calefacción eléctrica";"Primavera";"Tarifa variable";313.0;"Propiedad";10;24.0;8;7;1;2
"Hogar_25";2021;"Diciembre";479.0;"Casa";"Gas";-1.0;"Valencia";"Comunidad Valenciana";77;5;"Bueno";"No";0.128;"Electrodomésticos";"Primavera";"Tarifa variable";323.0;"Propiedad";12;16.0;4;4;1;2
"Hogar_26";2021;"Agosto";449.0;"Apartamento";"Eléctrica";-1.0;"Murcia";"Región de Murcia";41;3;"Bueno";"No";0.121;"Electrodomésticos";"Verano";"Tarifa variable";248.0;"Propiedad";16;10.0;5;5;2;1
"Hogar_27";2022;"Mayo";346.0;"Casa";"Eléctrica";72.0;"Sevilla";"Andalucía";103;1;"Bueno";"Sí";0.119;"Electrodomésticos";"Invierno";"Tarifa fija";275.0;"Propiedad";14;16.0;2;2;1;1
"Hogar_28";2022;"Febrero";358.0;"Casa";"Eléctrica";104.0;"Sevilla";"Andalucía";99;2;"Bueno";"No";0.134;"Aire acondicionado";"Verano";"Tarifa fija";254.0;"Propiedad";16;10.0;2;2;1;1
"Hogar_29";2021;"Octubre";132.0;"Apartamento";"Eléctrica";100.0;"Zaragoza";"Aragón";60;1;"Deficiente";"No";0.211;"Calefacción eléctrica";"Invierno";"Tarifa fija";255.0;"Propiedad";8;18.0;9;8;2;1
"Hogar_30";2022;"Mayo";341.0;"Casa";"Eléctrica";149.0;"Madrid";"Comunidad de Madrid";72;1;"Deficiente";"Sí";0.156;"Electrodomésticos";"Verano";"Tarifa fija";395.0;"Alquiler";10;15.0;8;7;1;1
"Hogar_31";2021;"Enero";381.0;"Casa";"Gas";152.0;"Sevilla";"Andalucía";115;3;"Regular";"Sí";0.243;"Aire acondicionado";"Primavera";"Tarifa fija";294.0;"Alquiler";17;17.0;2;2;1;2
"Hogar_32";2022;"Febrero";488.0;"Casa";"Gas";144.0;"Sevilla";"Andalucía";97;5;"Deficiente";"No";0.251;"Electrodomésticos";"Verano";"Tarifa fija";243.0;"Propiedad";18;19.0;2;2;1;2
"Hogar_33";2022;"Febrero";213.0;"Apartamento";"Gas";132.0;"Madrid";"Comunidad de Madrid";61;1;"Bueno";"No";0.224;"Electrodomésticos";"Otoño";"Tarifa variable";358.0;"Propiedad";16;23.0;8;7;2;2
"Hogar_34";2022;"Octubre";415.0;"Casa";"Eléctrica";165.0;"Valencia";"Comunidad Valenciana";147;2;"Regular";"No";0.266;"Calefacción eléctrica";"Invierno";"Tarifa fija";385.0;"Propiedad";17;19.0;4;4;1;1
"Hogar_35";2022;"Septiembre";410.0;"Apartamento";"Eléctrica";152.0;"Murcia";"Región de Murcia";128;4;"Regular";"No";0.158;"Aire acondicionado";"Invierno";"Tarifa fija";286.0;"Alquiler";16;16.0;5;5;2;1
"Hogar_36";2022;"Septiembre";191.0;"Casa";"Eléctrica";198.0;"Valencia";"Comunidad Valenciana";88;1;"Regular";"Sí";0.291;"Calefacción eléctrica";"Primavera";"Tarifa variable";380.0;"Alquiler";19;22.0;4;4;1;1
"Hogar_37";2022;"Octubre";406.0;"Casa";"Eléctrica";190.0;"Málaga";"Andalucía";130;1;"Bueno";"Sí";0.281;"Calefacción eléctrica";"Invierno";"Tarifa fija";283.0;"Propiedad";8;23.0;7;2;1;1
"Hogar_38";2021;"Marzo";487.0;"Apartamento";"Gas";118.0;"Las Palmas";"Canarias";98;3;"Deficiente";"Sí";0.233;"Electrodomésticos";"Otoño";"Tarifa variable";350.0;"Alquiler";6;11.0;6;6;2;2
"Hogar_39";2022;"Febrero";499.0;"Casa";"Eléctrica";99.0;"Zaragoza";"Aragón";81;5;"Bueno";"No";0.223;"Calefacción eléctrica";"Verano";"Tarifa fija";355.0;"Propiedad";6;17.0;9;8;1;1
"Hogar_40";2021;"Noviembre";232.0;"Casa";"Gas";195.0;"Málaga";"Andalucía";131;4;"Regular";"No";0.114;"Aire acondicionado";"Primavera";"Tarifa variable";215.0;"Propiedad";9;14.0;7;2;1;2
"Hogar_41";2021;"Mayo";190.0;"Apartamento";"Eléctrica";116.0;"Zaragoza";"Aragón";99;2;"Bueno";"No";0.203;"Calefacción eléctrica";"Otoño";"Tarifa variable";364.0;"Propiedad";4;10.0;9;8;2;1
"Hogar_42";2021;"Marzo";201.0;"Casa";"Eléctrica";71.0;"Sevilla";"Andalucía";119;4;"Bueno";"No";0.173;"Calefacción eléctrica";"Invierno";"Tarifa variable";348.0;"Propiedad";12;20.0;2;2;1;1
"Hogar_43";2022;"Mayo";247.0;"Apartamento";"Eléctrica";145.0;"Murcia";"Región de Murcia";54;2;"Deficiente";"Sí";0.157;"Calefacción eléctrica";"Invierno";"Tarifa variable";344.0;"Propiedad";12;22.0;5;5;2;1
"Hogar_44";2021;"Diciembre";289.0;"Casa";"Gas";148.0;"Zaragoza";"Aragón";101;5;"Deficiente";"Sí";0.165;"Electrodomésticos";"Otoño";"Tarifa variable";236.0;"Propiedad";17;12.0;9;8;1;2
"Hogar_45";2022;"Mayo";472.0;"Apartamento";"Gas";110.0;"Bilbao";"País Vasco";101;2;"Regular";"No";0.253;"Aire acondicionado";"Verano";"Tarifa fija";276.0;"Propiedad";15;22.0;1;1;2;2
"Hogar_46";2021;"Abril";350.0;"Apartamento";"Gas";55.0;"Zaragoza";"Aragón";86;3;"Bueno";"Sí";0.272;"Electrodomésticos";"Verano";"Tarifa fija";346.0;"Alquiler";9;22.0;9;8;2;2
"Hogar_47";2022;"Julio";106.0;"Casa";"Gas";117.0;"Sevilla";"Andalucía";101;3;"Bueno";"No";0.299;"Electrodomésticos";"Primavera";"Tarifa variable";357.0;"Propiedad";7;23.0;2;2;1;2
"Hogar_48";2021;"Mayo";422.0;"Apartamento";"Gas";63.0;"Valencia";"Comunidad Valenciana";90;3;"Deficiente";"No";0.181;"Electrodomésticos";"Invierno";"Tarifa variable";244.0;"Alquiler";10;13.0;4;4;2;2
"Hogar_49";2022;"Diciembre";314.0;"Casa";"Eléctrica";125.0;"Barcelona";"Cataluña";147;3;"Bueno";"Sí";0.107;"Electrodomésticos";"Otoño";"Tarifa variable";345.0;"Propiedad";16;23.0;10;9;1;1
"Hogar_50";2022;"Mayo";131.0;"Casa";"Gas";173.0;"Málaga";"Andalucía";94;4;"Bueno";"No";0.291;"Electrodomésticos";"Verano";"Tarifa fija";261.0;"Propiedad";12;14.0;7;2;1;2
"Hogar_51";2022;"Septiembre";271.0;"Casa";"Gas";165.0;"Murcia";"Región de Murcia";103;5;"Bueno";"No";0.236;"Aire acondicionado";"Primavera";"Tarifa variable";363.0;"Alquiler";7;18.0;5;5;1;2
"Hogar_52";2021;"Abril";235.0;"Casa";"Gas";104.0;"Las Palmas";"Canarias";42;2;"Deficiente";"Sí";0.207;"Calefacción eléctrica";"Invierno";"Tarifa variable";299.0;"Alquiler";18;10.0;6;6;1;2
"Hogar_53";2022;"Diciembre";153.0;"Casa";"Gas";117.0;"Murcia";"Región de Murcia";140;2;"Regular";"No";0.227;"Electrodomésticos";"Invierno";"Tarifa variable";251.0;"Propiedad";15;10.0;5;5;1;2
"Hogar_54";2022;"Septiembre";381.0;"Casa";"Gas";134.0;"Murcia";"Región de Murcia";90;3;"Regular";"No";0.215;"Electrodomésticos";"Primavera";"Tarifa variable";218.0;"Alquiler";6;20.0;5;5;1;2
"Hogar_55";2021;"Agosto";448.0;"Apartamento";"Eléctrica";54.0;"Barcelona";"Cataluña";46;3;"Bueno";"Sí";0.292;"Aire acondicionado";"Primavera";"Tarifa fija";308.0;"Propiedad";12;16.0;10;9;2;1
"Hogar_56";2021;"Marzo";276.0;"Apartamento";"Gas";160.0;"Málaga";"Andalucía";60;1;"Regular";"No";0.117;"Aire acondicionado";"Verano";"Tarifa variable";243.0;"Propiedad";11;13.0;7;2;2;2
"Hogar_57";2021;"Mayo";155.0;"Apartamento";"Gas";120.0;"Barcelona";"Cataluña";112;5;"Deficiente";"Sí";0.208;"Calefacción eléctrica";"Otoño";"Tarifa variable";206.0;"Alquiler";3;12.0;10;9;2;2
"Hogar_58";2022;"Mayo";242.0;"Apartamento";"Gas";125.0;"Valencia";"Comunidad Valenciana";78;4;"Deficiente";"No";0.189;"Aire acondicionado";"Invierno";"Tarifa fija";371.0;"Alquiler";2;20.0;4;4;2;2
"Hogar_59";2022;"Junio";263.0;"Casa";"Eléctrica";173.0;"Valencia";"Comunidad Valenciana";57;2;"Regular";"Sí";0.219;"Calefacción eléctrica";"Otoño";"Tarifa variable";316.0;"Alquiler";6;10.0;4;4;1;1
"Hogar_60";2021;"Abril";189.0;"Casa";"Gas";103.0;"Málaga";"Andalucía";43;1;"Regular";"Sí";0.23;"Electrodomésticos";"Invierno";"Tarifa variable";267.0;"Alquiler";5;22.0;7;2;1;2
"Hogar_61";2022;"Mayo";197.0;"Apartamento";"Eléctrica";66.0;"Zaragoza";"Aragón";128;1;"Bueno";"Sí";0.194;"Electrodomésticos";"Invierno";"Tarifa fija";233.0;"Propiedad";18;11.0;9;8;2;1
"Hogar_62";2022;"Junio";477.0;"Apartamento";"Eléctrica";188.0;"Bilbao";"País Vasco";99;2;"Regular";"No";0.181;"Calefacción eléctrica";"Otoño";"Tarifa fija";393.0;"Alquiler";16;12.0;1;1;2;1
"Hogar_63";2021;"Septiembre";305.0;"Apartamento";"Gas";87.0;"Zaragoza";"Aragón";53;4;"Bueno";"Sí";0.222;"Aire acondicionado";"Primavera";"Tarifa fija";268.0;"Alquiler";8;15.0;9;8;2;2
"Hogar_64";2022;"Agosto";187.0;"Casa";"Gas";148.0;"Bilbao";"País Vasco";48;1;"Bueno";"Sí";0.268;"Calefacción eléctrica";"Verano";"Tarifa variable";254.0;"Alquiler";11;17.0;1;1;1;2
"Hogar_65";2021;"Septiembre";390.0;"Casa";"Gas";81.0;"Murcia";"Región de Murcia";129;1;"Deficiente";"Sí";0.172;"Aire acondicionado";"Invierno";"Tarifa variable";209.0;"Alquiler";10;15.0;5;5;1;2
"Hogar_66";2021;"Septiembre";259.0;"Apartamento";"Eléctrica";142.0;"Madrid";"Comunidad de Madrid";92;5;"Deficiente";"Sí";0.156;"Electrodomésticos";"Primavera";"Tarifa fija";241.0;"Alquiler";12;14.0;8;7;2;1
"Hogar_67";2021;"Junio";284.0;"Apartamento";"Eléctrica";74.0;"Bilbao";"País Vasco";41;4;"Deficiente";"Sí";0.166;"Aire acondicionado";"Invierno";"Tarifa fija";240.0;"Propiedad";6;24.0;1;1;2;1
"Hogar_68";2021;"Noviembre";310.0;"Casa";"Gas";52.0;"Sevilla";"Andalucía";123;1;"Deficiente";"No";0.262;"Calefacción eléctrica";"Verano";"Tarifa fija";396.0;"Propiedad";5;19.0;2;2;1;2
"Hogar_69";2022;"Marzo";124.0;"Casa";"Eléctrica";82.0;"Valencia";"Comunidad Valenciana";131;4;"Regular";"No";0.112;"Calefacción eléctrica";"Invierno";"Tarifa variable";321.0;"Alquiler";9;10.0;4;4;1;1
"Hogar_70";2022;"Diciembre";455.0;"Apartamento";"Gas";117.0;"Sevilla";"Andalucía";99;2;"Deficiente";"No";0.273;"Electrodomésticos";"Verano";"Tarifa variable";337.0;"Alquiler";16;16.0;2;2;2;2
"Hogar_71";2022;"Noviembre";416.0;"Casa";"Gas";110.0;"Barcelona";"Cataluña";110;3;"Regular";"No";0.131;"Aire acondicionado";"Verano";"Tarifa fija";209.0;"Propiedad";14;23.0;10;9;1;2
"Hogar_72";2022;"Octubre";131.0;"Casa";"Gas";96.0;"Murcia";"Región de Murcia";83;1;"Deficiente";"No";0.134;"Aire acondicionado";"Invierno";"Tarifa variable";301.0;"Alquiler";8;14.0;5;5;1;2
"Hogar_73";2022;"Marzo";261.0;"Apartamento";"Eléctrica";65.0;"Zaragoza";"Aragón";47;5;"Regular";"No";0.179;"Aire acondicionado";"Invierno";"Tarifa fija";387.0;"Propiedad";19;11.0;9;8;2;1
"Hogar_74";2022;"Octubre";368.0;"Apartamento";"Eléctrica";165.0;"Valencia";"Comunidad Valenciana";86;2;"Bueno";"No";0.194;"Electrodomésticos";"Verano";"Tarifa variable";327.0;"Propiedad";14;21.0;4;4;2;1
"Hogar_75";2022;"Junio";115.0;"Apartamento";"Gas";108.0;"Valencia";"Comunidad Valenciana";74;4;"Regular";"Sí";0.131;"Aire acondicionado";"Primavera";"Tarifa variable";378.0;"Alquiler";7;19.0;4;4;2;2
"Hogar_76";2021;"Octubre";413.0;"Apartamento";"Eléctrica";128.0;"Barcelona";"Cataluña";117;2;"Regular";"No";0.172;"Calefacción eléctrica";"Otoño";"Tarifa variable";348.0;"Propiedad";5;18.0;10;9;2;1
"Hogar_77";2021;"Abril";203.0;"Casa";"Gas";120.0;"Barcelona";"Cataluña";120;1;"Deficiente";"Sí";0.166;"Aire acondicionado";"Verano";"Tarifa variable";335.0;"Alquiler";18;10.0;10;9;1;2
"Hogar_78";2022;"Junio";342.0;"Apartamento";"Eléctrica";85.0;"Sevilla";"Andalucía";75;4;"Regular";"Sí";0.217;"Electrodomésticos";"Invierno";"Tarifa fija";392.0;"Alquiler";2;12.0;2;2;2;1
"Hogar_79";2021;"Febrero";441.0;"Apartamento";"Gas";63.0;"Las Palmas";"Canarias";89;3;"Bueno";"No";0.286;"Aire acondicionado";"Invierno";"Tarifa variable";291.0;"Propiedad";11;19.0;6;6;2;2
"Hogar_80";2022;"Septiembre";121.0;"Casa";"Eléctrica";138.0;"Valencia";"Comunidad Valenciana";143;2;"Bueno";"Sí";0.279;"Aire acondicionado";"Primavera";"Tarifa variable";312.0;"Propiedad";8;13.0;4;4;1;1
"Hogar_81";2022;"Octubre";344.0;"Apartamento";"Gas";63.0;"Valencia";"Comunidad Valenciana";43;1;"Deficiente";"Sí";0.239;"Calefacción eléctrica";"Otoño";"Tarifa fija";277.0;"Alquiler";1;17.0;4;4;2;2
"Hogar_82";2021;"Abril";191.0;"Casa";"Gas";184.0;"Barcelona";"Cataluña";41;5;"Bueno";"Sí";0.256;"Aire acondicionado";"Verano";"Tarifa variable";284.0;"Propiedad";12;18.0;10;9;1;2
"Hogar_83";2021;"Octubre";466.0;"Apartamento";"Gas";58.0;"Málaga";"Andalucía";45;4;"Regular";"Sí";0.263;"Calefacción eléctrica";"Verano";"Tarifa fija";229.0;"Alquiler";2;14.0;7;2;2;2
"Hogar_84";2022;"Mayo";308.0;"Casa";"Eléctrica";65.0;"Barcelona";"Cataluña";93;2;"Bueno";"No";0.249;"Calefacción eléctrica";"Otoño";"Tarifa fija";248.0;"Propiedad";18;24.0;10;9;1;1
"Hogar_85";2021;"Noviembre";396.0;"Apartamento";"Eléctrica";58.0;"Zaragoza";"Aragón";145;2;"Deficiente";"No";0.153;"Electrodomésticos";"Verano";"Tarifa variable";208.0;"Propiedad";7;22.0;9;8;2;1
"Hogar_86";2021;"Noviembre";207.0;"Apartamento";"Eléctrica";170.0;"Madrid";"Comunidad de Madrid";43;3;"Regular";"No";0.121;"Calefacción eléctrica";"Otoño";"Tarifa variable";344.0;"Alquiler";17;20.0;8;7;2;1
"Hogar_87";2021;"Agosto";148.0;"Casa";"Gas";61.0;"Sevilla";"Andalucía";93;3;"Deficiente";"No";0.244;"Calefacción eléctrica";"Invierno";"Tarifa fija";268.0;"Alquiler";14;11.0;2;2;1;2
"Hogar_88";2021;"Septiembre";321.0;"Casa";"Eléctrica";72.0;"Zaragoza";"Aragón";132;5;"Regular";"No";0.159;"Electrodomésticos";"Otoño";"Tarifa fija";257.0;"Alquiler";7;11.0;9;8;1;1
"Hogar_89";2022;"Mayo";324.0;"Apartamento";"Gas";147.0;"Valencia";"Comunidad Valenciana";102;5;"Bueno";"No";0.163;"Calefacción eléctrica";"Verano";"Tarifa fija";384.0;"Propiedad";3;17.0;4;4;2;2
"Hogar_90";2021;"Agosto";215.0;"Apartamento";"Gas";79.0;"Sevilla";"Andalucía";57;1;"Deficiente";"No";0.237;"Electrodomésticos";"Otoño";"Tarifa variable";261.0;"Alquiler";6;12.0;2;2;2;2
"Hogar_91";2022;"Abril";167.0;"Apartamento";"Eléctrica";144.0;"Málaga";"Andalucía";129;1;"Deficiente";"No";0.197;"Aire acondicionado";"Primavera";"Tarifa fija";251.0;"Alquiler";2;24.0;7;2;2;1
"Hogar_92";2021;"Enero";354.0;"Apartamento";"Eléctrica";129.0;"Barcelona";"Cataluña";83;5;"Regular";"No";0.175;"Electrodomésticos";"Invierno";"Tarifa fija";388.0;"Propiedad";17;12.0;10;9;2;1
"Hogar_93";2021;"Marzo";333.0;"Apartamento";"Gas";114.0;"Las Palmas";"Canarias";73;5;"Deficiente";"No";0.185;"Calefacción eléctrica";"Invierno";"Tarifa fija";239.0;"Propiedad";12;17.0;6;6;2;2
"Hogar_94";2021;"Agosto";164.0;"Apartamento";"Gas";95.0;"Valencia";"Comunidad Valenciana";113;4;"Regular";"Sí";0.298;"Electrodomésticos";"Otoño";"Tarifa variable";365.0;"Alquiler";12;15.0;4;4;2;2
"Hogar_95";2021;"Octubre";332.0;"Apartamento";"Eléctrica";172.0;"Palma";"Islas Baleares";101;3;"Regular";"No";0.237;"Calefacción eléctrica";"Verano";"Tarifa fija";370.0;"Alquiler";17;19.0;3;3;2;1
"Hogar_96";2022;"Septiembre";429.0;"Apartamento";"Eléctrica";154.0;"Murcia";"Región de Murcia";139;1;"Regular";"Sí";0.188;"Aire acondicionado";"Primavera";"Tarifa variable";262.0;"Alquiler";10;11.0;5;5;2;1
"Hogar_97";2021;"Noviembre";208.0;"Casa";"Gas";141.0;"Málaga";"Andalucía";53;3;"Regular";"Sí";0.131;"Electrodomésticos";"Invierno";"Tarifa variable";346.0;"Alquiler";3;16.0;7;2;1;2
"Hogar_98";2021;"Febrero";177.0;"Casa";"Gas";88.0;"Madrid";"Comunidad de Madrid";134;3;"Bueno";"Sí";0.189;"Aire acondicionado";"Invierno";"Tarifa fija";249.0;"Propiedad";18;14.0;8;7;1;2
"Hogar_99";2021;"Junio";107.0;"Casa";"Gas";132.0;"Las Palmas";"Canarias";87;5;"Regular";"Sí";0.255;"Calefacción eléctrica";"Verano";"Tarifa variable";360.0;"Propiedad";13;23.0;6;6;1;2
"Hogar_100";2021;"Julio";384.0;"Apartamento";"Eléctrica";142.0;"Madrid";"Comunidad de Madrid";54;4;"Deficiente";"No";0.205;"Calefacción eléctrica";"Verano";"Tarifa fija";340.0;"Alquiler";12;10.0;8;7;2;1
"Hogar_1";2022;"Febrero";206.0;"Casa";"Eléctrica";182.0;"Bilbao";"País Vasco";111;2;"Bueno";"Sí";0.159;"Aire acondicionado";"Primavera";"Tarifa variable";277.0;"Alquiler";17;23.0;1;1;1;1
"Hogar_2";2021;"Julio";199.0;"Casa";"Gas";87.0;"Sevilla";"Andalucía";117;4;"Deficiente";"No";0.282;"Electrodomésticos";"Otoño";"Tarifa variable";296.0;"Alquiler";4;22.0;2;2;1;2
"Hogar_3";2021;"Febrero";219.0;"Apartamento";"Eléctrica";65.0;"Palma";"Islas Baleares";126;4;"Bueno";"No";0.232;"Electrodomésticos";"Verano";"Tarifa fija";389.0;"Propiedad";10;14.0;3;3;2;1
"Hogar_4";2021;"Julio";194.0;"Apartamento";"Eléctrica";197.0;"Sevilla";"Andalucía";101;3;"Regular";"Sí";0.214;"Calefacción eléctrica";"Otoño";"Tarifa fija";242.0;"Alquiler";11;21.0;2;2;2;1
"Hogar_5";2022;"Septiembre";408.0;"Apartamento";"Eléctrica";186.0;"Sevilla";"Andalucía";79;4;"Bueno";"No";0.273;"Aire acondicionado";"Primavera";"Tarifa fija";376.0;"Alquiler";6;10.0;2;2;2;1
"Hogar_6";2022;"Noviembre";483.0;"Apartamento";"Gas";121.0;"Valencia";"Comunidad Valenciana";124;1;"Bueno";"Sí";0.224;"Aire acondicionado";"Otoño";"Tarifa variable";235.0;"Propiedad";6;24.0;4;4;2;2
"Hogar_7";2022;"Abril";128.0;"Apartamento";"Gas";74.0;"Valencia";"Comunidad Valenciana";119;3;"Deficiente";"Sí";0.202;"Electrodomésticos";"Invierno";"Tarifa variable";321.0;"Propiedad";9;17.0;4;4;2;2
"Hogar_8";2022;"Septiembre";197.0;"Casa";"Eléctrica";145.0;"Murcia";"Región de Murcia";148;1;"Deficiente";"No";0.236;"Electrodomésticos";"Otoño";"Tarifa fija";307.0;"Alquiler";15;14.0;5;5;1;1
"Hogar_9";2022;"Junio";471.0;"Apartamento";"Gas";57.0;"Palma";"Islas Baleares";121;2;"Regular";"No";0.276;"Electrodomésticos";"Primavera";"Tarifa fija";209.0;"Alquiler";2;15.0;3;3;2;2
"Hogar_10";2022;"Julio";377.0;"Apartamento";"Eléctrica";179.0;"Las Palmas";"Canarias";92;3;"Bueno";"Sí";0.17;"Aire acondicionado";"Primavera";"Tarifa variable";294.0;"Propiedad";4;10.0;6;6;2;1
"Hogar_11";2022;"Mayo";260.0;"Apartamento";"Gas";122.0;"Málaga";"Andalucía";63;2;"Bueno";"No";0.122;"Electrodomésticos";"Primavera";"Tarifa variable";205.0;"Alquiler";5;24.0;7;2;2;2
